ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY,CAR_TYPE_Panel Truck,CAR_TYPE_Pickup,CAR_TYPE_SUV,CAR_TYPE_Sports Car,CAR_TYPE_Van
63581743,0,2039-03-16,1.7623324557136937,0,0.13094755856238535,0.19050508178377976,0,-1.1184053847478124,0,1,4.0,4.0,-1.2235229289913738,1,-0.1696590626682913,11,1,0.04885239305429008,2,0,3,-0.3198604734417601,1.7316489293412805,0,1,False,False,False,False,False
132761049,0,2056-01-21,-0.21364682914582928,0,0.13094755856238535,0.6902495030324082,0,0.8537268223218409,0,1,1.0,2.0,-0.7194153083251115,0,-0.0854236597938844,1,1,-0.46196555017847774,0,0,0,-0.3198604734417601,-1.3032088216005486,0,1,False,False,False,False,False
921317019,0,2051-11-18,0.36752354875403037,0,0.13094755856238535,-0.10950746122971225,0,-1.1184053847478124,0,1,2.0,5.0,-0.4673614979919803,1,0.7486254700752429,1,1,-0.46196555017847774,0,0,2,-0.3198604734417601,0.3034805759568903,0,1,False,False,False,False,True
727598473,0,2064-03-05,-1.1435194337856047,1,-0.11489533725140934,-0.8734736009658935,0,-0.16633865279553484,1,0,1.0,3.0,-1.790644002240919,1,-1.3821742984097538,4,0,3.9683295010826263,2,0,3,-0.3198604734417601,0.3034805759568903,0,1,False,False,True,False,False
450221861,0,2048-06-05,0.7162257754939462,0,0.8684762460037694,-1.2060628446342236,0,1.229360465652917,1,1,0.0,2.0,-0.08928078249228359,1,-0.026102953544302088,7,1,-0.46196555017847774,0,0,0,-0.3198604734417601,-0.4106036007353048,0,1,False,False,False,False,False
743146596,0,2049-05-17,0.5999916999139743,0,0.032610400236867385,1.1783193969298758,0,0.7515600522923862,1,0,4.0,7.0,0.16277302784084755,1,0.2776190624535594,1,0,1.7385250158614458,2,1,3,-0.3198604734417601,1.5531278851682317,0,1,False,False,True,False,False
871024631,0,2065-05-05,-1.2597535093655767,1,0.37679045437618003,1.3922141564808967,1,-1.1184053847478124,0,0,2.0,2.0,0.7929075536736754,0,0.20999345732903554,1,0,-0.46196555017847774,0,0,0,0.30360171237687883,-0.23208255656225601,1,1,False,False,False,True,False
792300541,0,2045-02-28,1.064928002233862,0,0.37679045437618003,-0.8171538562309859,0,-1.1184053847478124,1,0,0.0,2.0,-0.02626732990900081,1,-0.8162547607887386,1,0,-0.46196555017847774,0,0,0,-0.3198604734417601,-1.3032088216005486,0,1,False,False,True,False,False
7945239,1,2059-09-17,-0.5623490558857451,1,0.13094755856238535,-0.1523486219890345,1,-1.1184053847478124,0,1,1.0,5.0,-0.7824287609083942,1,0.38795557607778247,6,0,-0.08466334821659252,1,0,2,1.0508674890658178,-1.3032088216005486,1,1,False,False,False,False,False
3577610,0,2055-08-21,-0.09741275356585735,2,0.37679045437618003,-0.3043248403845199,1,-1.1184053847478124,0,0,1.0,2.0,-0.21530768765884917,0,-1.1579420287863327,10,0,-0.46196555017847774,0,0,0,-0.3198604734417601,0.3034805759568903,0,0,False,False,True,False,False
892208080,1,2061-12-14,-0.9110512826256609,2,0.7209705085154927,1.0326470085783566,0,1.4396352713209526,1,1,2.0,2.0,0.6668806485071098,0,0.1554184075794198,1,1,-0.19012475277103752,1,1,10,0.5311040374804216,-0.23208255656225601,1,1,False,False,False,False,True
